ID,Type,Name,Artefact,Class,Length_mm,Width_mm
1,Elongated,A_1,1,Novice,109.92,45.59
2,Elongated,B_1,1,Novice,110.91,46.4
3,Elongated,C_1,1,Intermediate,108.99,45.2
4,Elongated,D_1,1,Novice,106.87,48.31
5,Elongated,E_1,1,Novice,110.78,44.59
6,Elongated,F_1,1,Novice,111.17,47.11
7,Elongated,G_1,1,Novice,113.35,49.92
8,Elongated,H_1,1,Professional,115.14,50.99
9,Elongated,I_1,1,Novice,111.53,46.58
10,Elongated,J_1,1,Novice,110.92,47.9
11,Elongated,K_1,1,Novice,111.76,46.63
12,Elongated,L_1,1,Novice,110.48,47.49
13,Elongated,M_1,1,Novice,110.91,46.92
14,Elongated,N_1,1,Novice,113.6,47.47
15,Elongated,O_1,1,Novice,108.79,45.61
16,Elongated,P_1,1,Intermediate,110.82,50.41
17,Elongated,Q_1,1,Intermediate,112,50.83
18,Elongated,R_1,1,Photograph,115.47,50.69
19,Elongated,A_2,2,Novice,127.9,50.5
20,Elongated,B_2,2,Novice,130.29,51.13
21,Elongated,C_2,2,Intermediate,126.83,51.17
22,Elongated,D_2,2,Novice,123.27,50.92
23,Elongated,E_2,2,Novice,126.33,52.08
24,Elongated,F_2,2,Novice,126.56,51.5
25,Elongated,G_2,2,Novice,130.29,53.56
26,Elongated,H_2,2,Professional,131.35,57.3
27,Elongated,I_2,2,Novice,126.16,53
28,Elongated,J_2,2,Novice,127.65,50.42
29,Elongated,K_2,2,Novice,132.8,48.7
30,Elongated,L_2,2,Novice,130.33,50.92
31,Elongated,M_2,2,Novice,127.91,53.17
32,Elongated,N_2,2,Novice,130.25,51.17
33,Elongated,O_2,2,Novice,128.53,53.72
34,Elongated,P_2,2,Intermediate,124.67,45.33
35,Elongated,Q_2,2,Intermediate,128.49,54.62
36,Elongated,R_2,2,Photograph,131.84,58.04
37,Elongated,A_3,3,Novice,123.34,42.93
38,Elongated,B_3,3,Novice,124.58,41.92
39,Elongated,C_3,3,Intermediate,122.43,42.51
40,Elongated,D_3,3,Novice,127.2,44.94
41,Elongated,E_3,3,Novice,122.17,42.57
42,Elongated,F_3,3,Novice,123.51,42.51
43,Elongated,G_3,3,Novice,126,44.5
44,Elongated,H_3,3,Professional,128.47,46.53
45,Elongated,I_3,3,Novice,123.68,43.51
46,Elongated,J_3,3,Novice,121.67,43.35
47,Elongated,K_3,3,Novice,122.34,44.6
48,Elongated,L_3,3,Novice,123.43,41.34
49,Elongated,M_3,3,Novice,122.01,43.01
50,Elongated,N_3,3,Novice,123.8,44.89
51,Elongated,O_3,3,Novice,123.19,43.7
52,Elongated,P_3,3,Intermediate,123.69,42.52
53,Elongated,Q_3,3,Intermediate,125.35,44.02
54,Elongated,R_3,3,Photograph,129.68,44.84
55,Elongated,A_4,4,Novice,95.73,34.9
56,Elongated,B_4,4,Novice,95.9,31.72
57,Elongated,C_4,4,Intermediate,94.37,34.2
58,Elongated,D_4,4,Novice,96.97,31.85
59,Elongated,E_4,4,Novice,96.63,31.09
